date,Open,High,Low,Close,Adj Close,Volume,P_mean,P_sum,twt_count
2018-01-02,196.100006,201.649994,195.419998,201.070007,201.070007,10966900,0.0208333333333333,10,480
2018-01-03,202.050003,206.210007,201.5,205.050003,205.050003,8591400,0.0712166172106825,24,337
2018-01-04,206.199997,207.050003,204.0,205.630005,205.630005,6029600,-0.0185185185185185,-4,216
2018-01-05,207.25,210.020004,205.589996,209.990005,209.990005,7033200,-0.0197368421052631,-6,304
2018-01-08,210.020004,212.5,208.440002,212.050003,212.050003,5580200,-0.0076628352490421,-2,261
2018-01-09,212.110001,212.979996,208.589996,209.309998,209.309998,6125900,-0.0252100840336134,-6,238
2018-01-10,207.570007,213.639999,206.910004,212.520004,212.520004,5951500,-0.0261194029850746,-7,268
2018-01-11,214.289993,217.75,213.350006,217.240005,217.240005,7659500,0.0,0,370
2018-01-12,217.179993,222.550003,216.0,221.229996,221.229996,8199400,-0.003125,-1,320
2018-01-16,224.240005,226.070007,217.199997,221.529999,221.529999,13516100,0.0096774193548387,3,310
2018-01-17,221.0,221.149994,216.320007,217.5,217.5,9123100,0.003257328990228,1,307
2018-01-18,220.339996,220.580002,216.550003,220.330002,220.330002,8225300,-0.0404040404040404,-12,297
2018-01-19,222.75,223.490005,218.5,220.460007,220.460007,10548600,-0.0701219512195122,-23,328
2018-01-22,222.0,227.789993,221.199997,227.580002,227.580002,17703300,-0.0426608821402747,-59,1383
2018-01-23,255.050003,257.709991,248.020004,250.289993,250.289993,27705300,-0.0611961057023643,-88,1438
2018-01-24,250.880005,261.709991,249.309998,261.299988,261.299988,17352400,-0.0845253576072821,-65,769
2018-01-25,263.0,272.299988,260.230011,269.700012,269.700012,15336400,-0.1227436823104693,-102,831
2018-01-26,271.48999,274.600006,268.76001,274.600006,274.600006,11021800,-0.1180124223602484,-57,483
2018-01-29,274.200012,286.809998,273.920013,284.589996,284.589996,17529700,-0.1006896551724138,-73,725
2018-01-30,277.0,282.730011,272.700012,278.799988,278.799988,12482900,-0.1412698412698412,-89,630
2018-01-31,281.940002,282.290009,269.579987,270.299988,270.299988,11695100,-0.1674491392801252,-107,639
2018-02-01,266.410004,271.950012,263.380005,265.070007,265.070007,9669000,-0.15625,-55,352
2018-02-02,263.0,270.619995,262.709991,267.429993,267.429993,9123600,-0.0404624277456647,-14,346
2018-02-05,262.0,267.899994,250.029999,254.259995,254.259995,11896100,-0.0331125827814569,-10,302
2018-02-06,247.699997,266.700012,245.0,265.720001,265.720001,12595800,-0.0371517027863777,-12,323
2018-02-07,266.579987,272.450012,264.329987,264.559998,264.559998,8981500,-0.0874125874125874,-25,286
2018-02-08,267.079987,267.619995,250.0,250.100006,250.100006,9306700,-0.106060606060606,-28,264
2018-02-09,253.850006,255.800003,236.110001,249.470001,249.470001,16906900,-0.01875,-6,320
2018-02-12,252.139999,259.149994,249.0,257.950012,257.950012,8534900,0.0134680134680134,4,297
2018-02-13,257.290009,261.410004,254.699997,258.269989,258.269989,6855200,-0.0274914089347079,-8,291
2018-02-14,260.470001,269.880005,260.329987,266.0,266.0,10972000,-0.034090909090909,-15,440
2018-02-15,270.029999,280.5,267.630005,280.269989,280.269989,10759700,-0.0178173719376391,-8,449
2018-02-16,278.730011,281.959991,275.690002,278.519989,278.519989,8312400,-0.069069069069069,-23,333
2018-02-20,277.73999,285.809998,276.609985,278.549988,278.549988,7769000,-0.0271084337349397,-9,332
2018-02-21,282.070007,286.640015,280.01001,281.040009,281.040009,9371100,-0.0501138952164009,-22,439
2018-02-22,283.880005,284.5,274.450012,278.140015,278.140015,8891500,-0.0883977900552486,-32,362
2018-02-23,281.0,286.0,277.809998,285.929993,285.929993,7301800,-0.0555555555555555,-17,306
2018-02-26,288.75,295.649994,287.01001,294.160004,294.160004,10268600,-0.0233463035019455,-12,514
2018-02-27,294.769989,297.359985,290.589996,290.609985,290.609985,9416500,-0.0520833333333333,-20,384
2018-02-28,293.100006,295.75,290.779999,291.380005,291.380005,7653500,-0.0734463276836158,-26,354
2018-03-01,292.75,295.25,283.829987,290.390015,290.390015,11932100,-0.0760869565217391,-28,368
2018-03-02,284.649994,301.179993,283.230011,301.049988,301.049988,13345300,-0.0206185567010309,-12,582
2018-03-05,302.850006,316.910004,297.600006,315.0,315.0,18986100,-0.0404699738903394,-31,766
2018-03-06,319.880005,325.790009,316.5,325.220001,325.220001,18525800,-0.0412234042553191,-31,752
2018-03-07,320.0,323.73999,314.549988,321.160004,321.160004,17132200,-0.1026856240126382,-65,633
2018-03-08,322.200012,322.920013,314.130005,317.0,317.0,11340100,-0.0668449197860962,-25,374
2018-03-09,321.329987,331.440002,320.230011,331.440002,331.440002,14500200,-0.0390070921985815,-22,564
2018-03-12,333.559998,333.980011,318.600006,321.299988,321.299988,20369200,-0.1153262518968133,-76,659
2018-03-13,323.869995,325.839996,313.279999,315.880005,315.880005,12917200,-0.0954545454545454,-42,440
2018-03-14,318.160004,323.880005,317.700012,321.549988,321.549988,10475100,-0.0577777777777777,-26,450
2018-03-15,323.170013,323.399994,318.140015,321.089996,321.089996,5642900,-0.0764119601328903,-23,301
2018-03-16,321.420013,324.109985,318.369995,318.450012,318.450012,7333700,-0.0442176870748299,-13,294
2018-03-19,315.799988,317.0,307.339996,313.480011,313.480011,9925200,-0.1026894865525672,-42,409
2018-03-20,313.26001,319.5,312.799988,317.5,317.5,5991900,-0.0345821325648415,-12,347
2018-03-21,316.350006,319.399994,314.51001,316.480011,316.480011,5263900,-0.0756578947368421,-23,304
2018-03-22,313.070007,314.119995,305.660004,306.700012,306.700012,8063300,-0.0678571428571428,-19,280
2018-03-23,307.410004,309.369995,300.359985,300.940002,300.940002,9529900,-0.0531914893617021,-15,282
2018-03-26,309.359985,321.029999,302.0,320.350006,320.350006,11988300,-0.0524691358024691,-17,324
2018-03-27,322.48999,322.899994,297.0,300.690002,300.690002,12068600,-0.0956719817767653,-42,439
2018-03-28,298.390015,298.799988,281.609985,285.769989,285.769989,18972900,-0.1173469387755102,-69,588
2018-03-29,287.0,295.350006,275.899994,295.350006,295.350006,19145500,-0.0932038834951456,-48,515
2018-04-02,291.940002,292.869995,275.049988,280.290009,280.290009,13405800,-0.1209302325581395,-52,430
2018-04-03,285.450012,291.25,278.01001,283.670013,283.670013,12694900,-0.0929577464788732,-33,355
2018-04-04,273.630005,290.309998,271.220001,288.940002,288.940002,12914000,-0.048780487804878,-18,369
2018-04-05,293.149994,299.160004,289.109985,293.970001,293.970001,10655200,-0.0157728706624605,-5,317
2018-04-06,289.100006,298.850006,285.649994,288.850006,288.850006,11444800,-0.0516853932584269,-23,445
2018-04-09,291.769989,299.549988,289.119995,289.929993,289.929993,9853600,-0.033033033033033,-11,333
2018-04-10,297.679993,298.950012,291.690002,298.070007,298.070007,10660500,-0.0490956072351421,-19,387
2018-04-11,302.880005,311.640015,301.820007,303.670013,303.670013,14877400,0.0068259385665529,4,586
2018-04-12,309.720001,311.130005,306.75,309.25,309.25,10249400,-0.0205338809034907,-10,487
2018-04-13,317.290009,317.48999,308.230011,311.649994,311.649994,12046600,0.0050590219224283,3,593
2018-04-16,315.98999,316.100006,304.0,307.779999,307.779999,20307900,-0.0050835148874364,-7,1377
2018-04-17,329.660004,338.619995,323.769989,336.059998,336.059998,33866500,-0.0165745856353591,-27,1629
2018-04-18,336.299988,338.820007,331.100006,334.519989,334.519989,11221100,-0.0403726708074534,-26,644
2018-04-19,332.880005,335.309998,326.769989,332.700012,332.700012,8438800,-0.0755467196819085,-38,503
2018-04-20,332.220001,336.51001,326.0,327.769989,327.769989,9158700,-0.0575539568345323,-24,417
2018-04-23,329.149994,331.220001,317.079987,318.690002,318.690002,8968000,-0.0746268656716417,-30,402
2018-04-24,319.220001,320.25,302.309998,307.019989,307.019989,13893200,-0.1026252983293556,-43,419
2018-04-25,306.369995,309.980011,292.619995,305.76001,305.76001,14919700,-0.0925,-37,400
2018-04-26,310.0,316.630005,305.579987,313.980011,313.980011,9266700,-0.0354609929078014,-10,282
2018-04-27,316.25,317.450012,306.5,311.76001,311.76001,7074400,-0.0848484848484848,-28,330
2018-04-30,311.070007,317.880005,310.119995,312.459991,312.459991,6088800,-0.0580912863070539,-14,241
2018-05-01,310.359985,313.480011,306.690002,313.299988,313.299988,6036600,-0.0655172413793103,-19,290
2018-05-02,311.649994,317.100006,310.399994,313.359985,313.359985,5697100,-0.0416666666666666,-10,240
2018-05-03,312.589996,312.589996,305.730011,311.690002,311.690002,6135800,-0.0518867924528301,-11,212
2018-05-04,308.709991,320.980011,307.670013,320.089996,320.089996,8209500,-0.04296875,-11,256
2018-05-07,321.98999,329.019989,319.339996,326.26001,326.26001,7117800,-0.0652818991097922,-22,337
2018-05-08,325.899994,327.350006,323.049988,326.890015,326.890015,4735700,-0.0366666666666666,-11,300
2018-05-09,328.790009,331.950012,327.51001,330.299988,330.299988,5633400,-0.072289156626506,-18,249
2018-05-10,331.5,332.059998,327.339996,329.600006,329.600006,5302300,-0.0714285714285714,-16,224
2018-05-11,329.649994,331.26001,324.869995,326.459991,326.459991,4589700,-0.0365296803652968,-8,219
2018-05-14,327.25,330.5,327.040009,328.529999,328.529999,4089800,-0.0077519379844961,-2,258
2018-05-15,325.940002,326.940002,322.429993,326.130005,326.130005,4746100,-0.0294117647058823,-8,272
2018-05-16,326.279999,329.720001,325.140015,328.190002,328.190002,3671700,-0.0567375886524822,-16,282
2018-05-17,327.529999,330.450012,323.170013,325.220001,325.220001,4935700,-0.0401459854014598,-11,274
2018-05-18,324.899994,326.420013,322.799988,324.179993,324.179993,3577700,-0.0847457627118644,-15,177
2018-05-21,327.109985,331.880005,325.450012,331.820007,331.820007,6657300,-0.0261904761904761,-11,420
2018-05-22,334.049988,336.630005,331.149994,331.619995,331.619995,5964400,-0.0794044665012407,-32,403
2018-05-23,329.040009,345.0,328.089996,344.720001,344.720001,10049100,0.0366032210834553,25,683
2018-05-24,344.339996,354.0,341.119995,349.290009,349.290009,14758600,-0.0262216924910607,-22,839
2018-05-25,349.899994,354.359985,348.829987,351.290009,351.290009,7817400,-0.0262664165103189,-14,533
2018-05-29,351.5,356.100006,346.709991,349.730011,349.730011,9717900,-0.0761421319796954,-30,394
2018-05-30,352.369995,354.0,349.26001,353.540009,353.540009,5685500,-0.1075949367088607,-34,316
2018-05-31,353.799988,355.529999,350.209991,351.600006,351.600006,6921700,-0.111864406779661,-33,295
2018-06-01,353.880005,359.98999,352.820007,359.929993,359.929993,7112300,0.0341880341880341,12,351
2018-06-04,362.679993,363.0,355.51001,361.809998,361.809998,7682000,-0.0704960835509138,-27,383
2018-06-05,363.320007,369.829987,361.410004,365.799988,365.799988,8358000,-0.0143737166324435,-7,487
2018-06-06,367.779999,369.679993,363.329987,367.450012,367.450012,7712300,-0.0068493150684931,-2,292
2018-06-07,368.540009,368.700012,357.799988,361.399994,361.399994,8278000,-0.0404984423676012,-13,321
2018-06-08,358.059998,362.390015,356.25,360.570007,360.570007,5225700,-0.0114942528735632,-3,261
2018-06-11,361.880005,365.670013,360.910004,361.450012,361.450012,4432400,-0.0897959183673469,-22,245
2018-06-12,363.600006,365.980011,362.0,363.829987,363.829987,4291000,-0.0807017543859649,-23,285
2018-06-13,367.529999,384.25,364.109985,379.929993,379.929993,18222800,-0.063034188034188,-59,936
2018-06-14,384.269989,395.029999,383.25,392.869995,392.869995,14598300,-0.0640732265446224,-56,874
2018-06-15,390.709991,398.859985,387.51001,391.980011,391.980011,13588100,-0.0129032258064516,-8,620
2018-06-18,387.720001,393.160004,386.5,390.399994,390.399994,6824800,-0.0439560439560439,-12,273
2018-06-19,389.5,405.290009,388.5,404.980011,404.980011,16697100,-0.025089605734767,-21,837
2018-06-20,415.149994,419.470001,409.600006,416.76001,416.76001,16494600,-0.0851851851851851,-92,1080
2018-06-21,421.380005,423.209991,406.369995,415.440002,415.440002,18389900,-0.1215953307392996,-125,1028
2018-06-22,419.980011,420.5,409.649994,411.089996,411.089996,10428600,-0.1826923076923076,-95,520
2018-06-25,404.690002,405.98999,378.75,384.480011,384.480011,22490900,-0.1201248049921996,-77,641
2018-06-26,393.279999,404.779999,389.049988,399.390015,399.390015,15191200,-0.0948012232415902,-62,654
2018-06-27,407.559998,411.589996,390.0,390.390015,390.390015,16541400,-0.1360856269113149,-89,654
2018-06-28,395.0,396.899994,387.100006,395.420013,395.420013,12219900,-0.1355555555555555,-61,450
2018-06-29,399.190002,401.329987,390.549988,391.429993,391.429993,9252500,-0.1010362694300518,-39,386
2018-07-02,385.450012,398.380005,380.0,398.179993,398.179993,8142500,-0.0746666666666666,-28,375
2018-07-03,399.48999,399.980011,389.5,390.519989,390.519989,5280300,-0.0408163265306122,-12,294
2018-07-05,393.799988,399.23999,390.859985,398.390015,398.390015,8448900,-0.0437158469945355,-16,366
2018-07-06,397.450012,408.649994,395.519989,408.25,408.25,8629600,0.0316027088036117,14,443
2018-07-09,415.950012,419.119995,411.100006,418.970001,418.970001,11127500,-0.0232558139534883,-11,473
2018-07-10,417.23999,419.440002,413.079987,415.630005,415.630005,9382900,-0.0544554455445544,-22,404
2018-07-11,411.339996,419.769989,410.600006,418.649994,418.649994,9713900,-0.0785123966942148,-38,484
2018-07-12,415.160004,416.790009,407.799988,413.5,413.5,12743300,-0.072,-45,625
2018-07-13,409.190002,410.0,395.079987,395.799988,395.799988,15719000,-0.141643059490085,-100,706
2018-07-16,398.980011,403.359985,391.75,400.480011,400.480011,22960000,-0.1535987133092078,-382,2487
2018-07-17,346.950012,385.0,344.0,379.480011,379.480011,58410400,-0.1105581230003554,-311,2813
2018-07-18,381.23999,383.130005,372.359985,375.130005,375.130005,21746300,-0.0508474576271186,-39,767
2018-07-19,371.059998,375.75,363.0,364.230011,364.230011,16878700,-0.1171303074670571,-80,683
2018-07-20,364.920013,370.5,360.140015,361.049988,361.049988,15096700,-0.0956521739130434,-55,575
2018-07-23,359.149994,363.899994,353.600006,362.660004,362.660004,11505200,-0.0445859872611464,-21,471
2018-07-24,366.940002,367.399994,354.559998,357.320007,357.320007,12851500,-0.11875,-57,480
2018-07-25,357.570007,363.279999,355.649994,362.869995,362.869995,8467800,-0.0833333333333333,-43,516
2018-07-26,358.190002,365.540009,356.630005,363.089996,363.089996,6993700,-0.1085141903171953,-65,599
2018-07-27,366.850006,367.0,351.649994,355.209991,355.209991,8949500,-0.1032863849765258,-44,426
2018-07-30,351.929993,352.029999,334.019989,334.959991,334.959991,18260700,-0.1255742725880551,-82,653
2018-07-31,331.51001,342.5,328.0,337.450012,337.450012,14085400,-0.0914512922465208,-46,503
2018-08-01,335.869995,344.410004,334.019989,338.380005,338.380005,7790500,-0.0729166666666666,-21,288
2018-08-02,337.230011,345.0,334.709991,344.5,344.5,7131300,-0.0271084337349397,-9,332
2018-08-03,347.75,347.859985,338.480011,343.089996,343.089996,8848400,-0.1246006389776357,-39,313
2018-08-06,342.869995,351.980011,341.73999,350.920013,350.920013,8198100,0.0031847133757961,1,314
2018-08-07,353.230011,357.309998,349.01001,351.829987,351.829987,7970900,-0.0239361702127659,-9,376
2018-08-08,352.209991,352.290009,346.609985,347.609985,347.609985,5394700,-0.0949152542372881,-28,295
2018-08-09,347.959991,352.440002,345.820007,349.359985,349.359985,4820300,-0.0078125,-2,256
2018-08-10,346.910004,349.100006,344.420013,345.869995,345.869995,4328400,-0.0594594594594594,-11,185
2018-08-13,339.890015,347.190002,339.070007,341.309998,341.309998,6888900,-0.0672268907563025,-24,357
2018-08-14,342.089996,342.410004,336.25,337.48999,337.48999,5805200,-0.1162079510703364,-38,327
2018-08-15,334.029999,335.5,321.0,326.399994,326.399994,11784500,-0.1253333333333333,-47,375
2018-08-16,329.899994,331.170013,321.209991,322.440002,322.440002,6689700,-0.1163522012578616,-37,318
2018-08-17,319.01001,324.369995,312.959991,316.779999,316.779999,10407900,-0.1529126213592233,-63,412
2018-08-20,314.640015,331.600006,310.929993,327.730011,327.730011,13591100,-0.0196374622356495,-13,662
2018-08-21,331.0,341.5,329.700012,338.019989,338.019989,14783200,-0.0100603621730382,-5,497
2018-08-22,338.48999,346.209991,337.410004,344.440002,344.440002,8930700,0.0331325301204819,11,332
2018-08-23,348.109985,350.079987,337.649994,339.170013,339.170013,11336400,-0.040625,-13,320
2018-08-24,346.0,359.149994,344.540009,358.820007,358.820007,14729100,0.0153061224489795,9,588
2018-08-27,367.149994,374.48999,360.0,364.579987,364.579987,17427300,-0.015267175572519,-8,524
2018-08-28,367.230011,369.98999,360.380005,368.48999,368.48999,9222600,-0.0249110320284697,-7,281
2018-08-29,367.200012,369.859985,362.910004,368.040009,368.040009,8118700,-0.0381944444444444,-11,288
2018-08-30,365.0,376.809998,363.540009,370.980011,370.980011,10981000,0.0465686274509803,19,408
2018-08-31,370.660004,376.0,367.079987,367.679993,367.679993,7943400,-0.0189393939393939,-5,264
2018-09-04,366.470001,368.880005,361.26001,363.600006,363.600006,7605200,-0.074074074074074,-22,297
2018-09-05,360.0,363.390015,335.829987,341.179993,341.179993,13092800,-0.0959821428571428,-43,448
